Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B1,BLUENRG-M2SA,BLUENRG-M2SA,-86.121875,-195.262500,335.000000,bottom
B2,BLUENRG-M2SA,BLUENRG-M2SA,167.481250,-191.293750,25.000000,bottom
C1,4.7uF,C_0402_1005Metric,179.845625,-153.127500,225.000000,bottom
C2,100nF,C_0402_1005Metric,187.115625,-158.337500,135.000000,bottom
C3,4.7uF,C_0402_1005Metric,179.685625,-150.062500,90.000000,bottom
C4,100nF,C_0402_1005Metric,176.045625,-160.387500,315.000000,bottom
C5,1uF,C_0402_1005Metric,185.155625,-164.407500,45.000000,bottom
C6,100nF,C_0402_1005Metric,180.545625,-153.827500,225.000000,bottom
C7,1uF,C_0402_1005Metric,172.865625,-128.487500,180.000000,bottom
C8,100uF,C_1206_3216Metric,188.655625,-153.767500,90.000000,bottom
C9,10nF,C_0402_1005Metric,184.455625,-163.697500,45.000000,bottom
C10,100nF,C_0402_1005Metric,187.115625,-160.397500,225.000000,bottom
C11,4.7uF,C_0402_1005Metric,191.835625,-155.807500,0.000000,bottom
C12,1uF,C_0402_1005Metric,175.535625,-135.567500,180.000000,bottom
C13,100nF,C_0402_1005Metric,128.190625,-118.268750,270.000000,bottom
C14,100nF,C_0402_1005Metric,75.803125,-124.618750,180.000000,bottom
C15,100nF,C_0402_1005Metric,56.753125,-162.718750,180.000000,bottom
C16,100nF,C_0402_1005Metric,75.803125,-200.818750,180.000000,bottom
C17,4.7uF,C_0402_1005Metric,-95.314375,-129.107500,225.000000,bottom
C18,100nF,C_0402_1005Metric,-95.294375,-130.477500,225.000000,bottom
C19,4.7uF,C_0402_1005Metric,-101.414375,-126.677500,90.000000,bottom
C20,100uF,C_1206_3216Metric,-94.084375,-124.687500,180.000000,bottom
C21,4.7uF,C_0402_1005Metric,-90.104375,-121.487500,0.000000,bottom
C22,100nF,C_0402_1005Metric,-88.547322,-136.840447,225.000000,bottom
C23,1uF,C_0402_1005Metric,-90.474375,-141.207500,45.000000,bottom
C24,100nF,C_0402_1005Metric,-88.744375,-134.977500,135.000000,bottom
C25,10nF,C_0402_1005Metric,-91.134375,-140.527500,45.000000,bottom
C26,100nF,C_0402_1005Metric,-99.814375,-137.027500,315.000000,bottom
C27,1uF,C_0402_1005Metric,-102.304375,-121.657500,0.000000,bottom
C28,1uF,C_0402_1005Metric,-102.894375,-126.107500,0.000000,bottom
C29,100nF,C_0402_1005Metric,-57.635000,-124.618750,180.000000,bottom
